2019-04-19 22:56:30,b'Breakfast on the road: same as breakfast when not on the road \xf0\x9f\x98\x82.\nYoghurt + peanut butter (+ coffee).\n.\n.\n.\xe2\x80\xa6 https://t.co/RnA6veEHoE'
2019-04-19 19:25:50,b'Having trouble finding our authentic #Bulgarian #Yoghurt at a store near you? Use our handy store locator! https://t.co/feGgViQzJD'
2019-04-19 12:55:36,"b""RT @PCTLTD_CHEESE: Well we're about to break for #Easter \xf0\x9f\x98\x80\nWishing everyone a Happy Holidays. Don't forget to fill your tummies with plenty\xe2\x80\xa6"""
2019-04-19 12:09:13,"b""RT @PCTLTD_CHEESE: Well we're about to break for #Easter \xf0\x9f\x98\x80\nWishing everyone a Happy Holidays. Don't forget to fill your tummies with plenty\xe2\x80\xa6"""
2019-04-19 11:05:16,b'Making new yogurt out of old yogurt \xf0\x9f\x90\x84 #waronwaste #foodwaste #yoghurt #makingyoghurt #homemadeyoghurt #rayburn\xe2\x80\xa6 https://t.co/UQJPuNYXj1'
2019-04-19 09:27:33,b'RT @ngonifit: Strawberry Yoghurt  #healthyfood #health #fitness #fitnesslife #healthmotivation #fitnessmotivation #fitfood #fitnessfood #yo\xe2\x80\xa6'
2019-04-19 09:15:01,"b""Worrying How To Get Rid Of #SunTan?\n\nWe Say Don't Spend On Expensive Branded Creams, Just Go With The #DIY Route...\xe2\x80\xa6 https://t.co/7H7wsv8WFe"""
2019-04-19 06:11:15,b'Strawberry Yoghurt  #healthyfood #health #fitness #fitnesslife #healthmotivation #fitnessmotivation #fitfood\xe2\x80\xa6 https://t.co/mfF1QdXwAG'
2019-04-18 20:04:30,"b""Destiny doesn't like #yoghurt #bleh \xf0\x9f\x98\x85 \xf0\x9f\x9a\xab sour \xf0\x9f\xa5\x9b allowed \xf0\x9f\x98\x85"""
2019-04-18 19:42:22,"b""RT @EarlhamInst: For our latest #WomenInComputing feature, we recently asked Agatha Treveil of EI's @KorcsmarosLab what's so important abou\xe2\x80\xa6"""
